类型,GHTI编码,名称,来源,源文件,输出路径,宽,高,说明
overview,F-R,GHTI_分类_F-R_总览,original,26ca9027af7c319cfabebe9b3a9b3ade.png,01_总览图_重命名/GHTI_分类_F-R_总览.png,1122,1402,重命名总览图
overview,S-A,GHTI_分类_S-A_总览,original,476c72bfc79ed2c3317172e6e4bf36fa.png,01_总览图_重命名/GHTI_分类_S-A_总览.png,1122,1402,重命名总览图
overview,S-R,GHTI_分类_S-R_总览,original,5bd332ee4d10f033a32b6c11b867e06c.png,01_总览图_重命名/GHTI_分类_S-R_总览.png,1122,1402,重命名总览图
overview,F-A,GHTI_分类_F-A_总览,original,f48ff0a7875ab6df2727a404d657e939.png,01_总览图_重命名/GHTI_分类_F-A_总览.png,1122,1402,重命名总览图
single,FRCP,白毛衣治愈系,original,3ef15eaee5c98eea7b1b1ca43e3a98d1.png,02_单图_16款_统一尺寸/FRCP_白毛衣治愈系.png,1024,1536,统一尺寸与背景处理
single,FRDP,黑纱氛围感,original,5721cf4d9028a6c95fe43e408145522c.png,02_单图_16款_统一尺寸/FRDP_黑纱氛围感.png,1024,1536,统一尺寸与背景处理
single,FRDI,深海神秘感,original,7e0179b191c77078c1e2f76e1e365680.png,02_单图_16款_统一尺寸/FRDI_深海神秘感.png,1024,1536,统一尺寸与背景处理
single,FADP,红毯女主感,original,91e9408ef9f011b99598533fd8d65bd3.png,02_单图_16款_统一尺寸/FADP_红毯女主感.png,1024,1536,统一尺寸与背景处理
single,SRCI,月光极简感,original,9ae1b9e73021778d76b521cdf607bc86.png,02_单图_16款_统一尺寸/SRCI_月光极简感.png,1024,1536,统一尺寸与背景处理
single,FACP,奶油主理人,original,a047d0ee1e6ffe2a48733d332045d139.png,02_单图_16款_统一尺寸/FACP_奶油主理人.png,1024,1536,统一尺寸与背景处理
single,SRDP,雪地大小姐,original,acf01f6cc182f88c84f178543c497c3a.png,02_单图_16款_统一尺寸/SRDP_雪地大小姐.png,1024,1536,统一尺寸与背景处理
single,SRDI,白大衣酷女孩,original,b7c2e15a41f3e8feef7c296c1221f2d3.png,02_单图_16款_统一尺寸/SRDI_白大衣酷女孩.png,1024,1536,统一尺寸与背景处理
single,FADI,电影感女主,original,b8d3d8bba5715ef97ca5c8b97e592a91.png,02_单图_16款_统一尺寸/FADI_电影感女主.png,1024,1536,统一尺寸与背景处理
single,FACI,法式松弛感,original,cdca8b255e6d88fde689624d02093652.png,02_单图_16款_统一尺寸/FACI_法式松弛感.png,1024,1536,统一尺寸与背景处理
single,SRCP,图书馆美人,original,dde76ba42433865e901cdfbc80f61262.png,02_单图_16款_统一尺寸/SRCP_图书馆美人.png,1024,1536,统一尺寸与背景处理
single,FRCI,森系温柔感,original,eac2ee13d55a7e8a4165df09405df894.png,02_单图_16款_统一尺寸/FRCI_森系温柔感.png,1024,1536,统一尺寸与背景处理
single,SADP,黑风衣女老板,AI补全,a_dark_studio_like_scene_with_a_single_full_body_h_1_batch_1.png,02_单图_16款_统一尺寸/SADP_黑风衣女老板.png,1024,1536,依据S/A总览图补全
single,SADI,锋利大女主,AI补全,a_dark_studio_portrait_scene_with_a_single_female_2_batch_2.png,02_单图_16款_统一尺寸/SADI_锋利大女主.png,1024,1536,依据S/A总览图补全
single,SACP,通勤高级感,AI补全,a_studio_portrait_full_body_fashion_illustration_p_3_batch_3.png,02_单图_16款_统一尺寸/SACP_通勤高级感.png,1024,1536,依据S/A总览图补全
single,SACI,冷感设计师,AI补全,a_clean_studio_fashion_portrait_character_render_4_batch_4.png,02_单图_16款_统一尺寸/SACI_冷感设计师.png,1024,1536,依据S/A总览图补全
extra,FRDI,深海神秘感,original,da78e0dfcc43a78a0586e21ca0645ace.png,03_扩展候选/FRDI_深海神秘感_02.png,1024,1536,额外候选，不计入16标准款
